date,RdP1-E_Grid,RdP1 - EArray,RdP2-E_Grid,RdP2 - EArray,RdPTotal - Earray,RdPTotal - E_grid,SMF-Cajazeiras
01/01/2023 00:00,0,0,0,0,0,0,0
01/01/2023 01:00,0,0,0,0,0,0,0
01/01/2023 02:00,0,0,0,0,0,0,0
01/01/2023 03:00,0,0,0,0,0,0,0
01/01/2023 04:00,0,0,0,0,0,0,0
01/01/2023 05:00,231.52,494.02,217.46,479.82,973.84,448.98,1228.05059
01/01/2023 06:00,8987.7,9464.9,8770,9236.1,18701,17757.7,19586.90912
01/01/2023 07:00,18700,19709,18614,19604,39313,37314,41151.14014
01/01/2023 08:00,20302,21427,20202,21303,42730,40504,40281.31641
01/01/2023 09:00,21422,22633,21303,22486,45119,42725,38475.99561
01/01/2023 10:00,28800,30716,29042,30947,61663,57842,39584.77686
01/01/2023 11:00,28932,30861,29220,31143,62004,58152,39424.27344
01/01/2023 12:00,24048,25484,23960,25365,50849,48008,37827.51245
01/01/2023 13:00,24004,25435,23921,25321,50756,47925,38544.75635
01/01/2023 14:00,26062,27689,26013,27608,55297,52075,39342.52881
01/01/2023 15:00,25820,27421,25775,27346,54767,51595,39429.60938
01/01/2023 16:00,18253,19224,18028,18971,38195,36281,25769.979
01/01/2023 17:00,2641,2944.6,2442.9,2743.4,5688,5083.9,4409.72391
01/01/2023 18:00,0,0,0,0,0,0,1.37374
01/01/2023 19:00,0,0,0,0,0,0,0
01/01/2023 20:00,0,0,0,0,0,0,0
01/01/2023 21:00,0,0,0,0,0,0,0
01/01/2023 22:00,0,0,0,0,0,0,0
01/01/2023 23:00,0,0,0,0,0,0,0
02/01/2023 00:00,0,0,0,0,0,0,0
02/01/2023 01:00,0,0,0,0,0,0,0
02/01/2023 02:00,0,0,0,0,0,0,0
02/01/2023 03:00,0,0,0,0,0,0,0
02/01/2023 04:00,0,0,0,0,0,0,0
02/01/2023 05:00,0,0,0,0,0,0,315.58721
02/01/2023 06:00,2354.5,2656.5,2292,2592.9,5249.4,4646.5,5383.09862
02/01/2023 07:00,7786,8225,7692.1,8126.7,16351.7,15478.1,14040.67493
02/01/2023 08:00,11633,12224,11500,12080,24304,23133,23139.14502
02/01/2023 09:00,14478,15217,14302,15024,30241,28780,27798.58899
02/01/2023 10:00,22458,23754,22330,23594,47348,44788,30493.86255
02/01/2023 11:00,27031,28758,26996,28691,57449,54027,31917.44116
02/01/2023 12:00,27613,29399,27580,29333,58732,55193,31929.69092
02/01/2023 13:00,29463,31446,29820,31805,63251,59283,36801.79834
02/01/2023 14:00,23087,24435,23012,24331,48766,46099,41888.70361
02/01/2023 15:00,13640,14329,13539,14216,28545,27179,23399.54272
02/01/2023 16:00,1276.4,1561.1,1242,1526.2,3087.3,2518.4,2373.31784
02/01/2023 17:00,173.27,434.37,163.56,424.62,858.99,336.83,650.01414
02/01/2023 18:00,0,0,0,0,0,0,0
02/01/2023 19:00,0,0,0,0,0,0,0
02/01/2023 20:00,0,0,0,0,0,0,0
02/01/2023 21:00,0,0,0,0,0,0,0
02/01/2023 22:00,0,0,0,0,0,0,0
02/01/2023 23:00,0,0,0,0,0,0,0
03/01/2023 00:00,0,0,0,0,0,0,0
03/01/2023 01:00,0,0,0,0,0,0,0
03/01/2023 02:00,0,0,0,0,0,0,0
03/01/2023 03:00,0,0,0,0,0,0,0
03/01/2023 04:00,0,0,0,0,0,0,0
03/01/2023 05:00,161.12,422.2,150.06,411.07,833.27,311.18,1105.44152
03/01/2023 06:00,10584,11128,10323,10851,21979,20907,20494.56006
03/01/2023 07:00,18476,19470,18389,19365,38835,36865,40561.27161
03/01/2023 08:00,25828,27436,25771,27348,54784,51599,46701.36816
03/01/2023 09:00,23871,25292,23785,25175,50467,47656,43545.95703
03/01/2023 10:00,22907,24240,22783,24085,48325,45690,40402.0481
03/01/2023 11:00,25680,27272,25616,27176,54448,51296,40944.59009
03/01/2023 12:00,24532,26013,24451,25900,51913,48983,40305.42139
03/01/2023 13:00,28341,30203,28449,30287,60490,56790,42774.51929
03/01/2023 14:00,23916,25338,23848,25241,50579,47764,43700.23706
03/01/2023 15:00,20781,21938,20708,21842,43780,41489,37499.33606
03/01/2023 16:00,15820,16633,15618,16410,33043,31438,23854.00488
03/01/2023 17:00,2047.2,2342.8,1907.4,2201.2,4544,3954.6,3779.33251
03/01/2023 18:00,0,0,0,0,0,0,0
03/01/2023 19:00,0,0,0,0,0,0,0
03/01/2023 20:00,0,0,0,0,0,0,0
03/01/2023 21:00,0,0,0,0,0,0,0
03/01/2023 22:00,0,0,0,0,0,0,0
03/01/2023 23:00,0,0,0,0,0,0,0
04/01/2023 00:00,0,0,0,0,0,0,0
04/01/2023 01:00,0,0,0,0,0,0,0
04/01/2023 02:00,0,0,0,0,0,0,0
04/01/2023 03:00,0,0,0,0,0,0,0
04/01/2023 04:00,0,0,0,0,0,0,0
04/01/2023 05:00,238.98,501.71,225.04,487.63,989.34,464.02,1302.30592
04/01/2023 06:00,7926.3,8369.8,7723.3,8159.3,16529.1,15649.6,18920.40222
04/01/2023 07:00,22428,23725,22360,23630,47355,44788,47263.24463
04/01/2023 08:00,26030,27660,25976,27573,55233,52006,48912.59668
04/01/2023 09:00,27246,28997,27198,28915,57912,54444,47352.95728
04/01/2023 10:00,29538,31534,29898,31898,63432,59436,46926.80933
04/01/2023 11:00,27348,29108,27319,29046,58154,54667,44508.47241
04/01/2023 12:00,23179,24535,23083,24409,48944,46262,43111.63452
04/01/2023 13:00,18416,19399,18260,19220,38619,36676,37016.9519
04/01/2023 14:00,15555,16353,15425,16206,32559,30980,34317.10828
04/01/2023 15:00,20768,21923,20695,21828,43751,41463,41776.18811
04/01/2023 16:00,15601,16400,15405,16184,32584,31006,23657.30188
04/01/2023 17:00,1760.9,2052.2,1648.7,1938.7,3990.9,3409.6,3523.9509
04/01/2023 18:00,0,0,0,0,0,0,0
04/01/2023 19:00,0,0,0,0,0,0,0
04/01/2023 20:00,0,0,0,0,0,0,0
04/01/2023 21:00,0,0,0,0,0,0,0
04/01/2023 22:00,0,0,0,0,0,0,0
04/01/2023 23:00,0,0,0,0,0,0,0
05/01/2023 00:00,0,0,0,0,0,0,0
05/01/2023 01:00,0,0,0,0,0,0,0
05/01/2023 02:00,0,0,0,0,0,0,0
05/01/2023 03:00,0,0,0,0,0,0,0
05/01/2023 04:00,0,0,0,0,0,0,0
05/01/2023 05:00,338.24,603.1,317.09,581.64,1184.74,655.33,1488.05473
05/01/2023 06:00,10217,10745,9957.7,10470,21215,20174.7,21893.01898
05/01/2023 07:00,22673,23989,22606,23896,47885,45279,47480.9519
05/01/2023 08:00,26312,27969,26260,27885,55854,52572,49928.58691
05/01/2023 09:00,28598,30494,28775,30654,61148,57373,48138.46094
05/01/2023 10:00,28754,30665,28982,30881,61546,57736,46985.23291
05/01/2023 11:00,28752,30662,28988,30887,61549,57740,46921.19312
05/01/2023 12:00,28566,30453,28743,30614,61067,57309,46920.79199
05/01/2023 13:00,28030,29859,28045,29842,59701,56075,47633.29126
05/01/2023 14:00,27100,28830,27062,28759,57589,54162,48687.58301
05/01/2023 15:00,23489,24872,23430,24785,49657,46919,42378.76904
05/01/2023 16:00,15905,16723,15711,16508,33231,31616,24979.3147
05/01/2023 17:00,2397.7,2697.6,2229.7,2527.2,5224.8,4627.4,4283.84373
05/01/2023 18:00,0,0,0,0,0,0,0
05/01/2023 19:00,0,0,0,0,0,0,0
05/01/2023 20:00,0,0,0,0,0,0,0
05/01/2023 21:00,0,0,0,0,0,0,0
05/01/2023 22:00,0,0,0,0,0,0,0
05/01/2023 23:00,0,0,0,0,0,0,0
06/01/2023 00:00,0,0,0,0,0,0,0
06/01/2023 01:00,0,0,0,0,0,0,0
06/01/2023 02:00,0,0,0,0,0,0,0
06/01/2023 03:00,0,0,0,0,0,0,0
06/01/2023 04:00,0,0,0,0,0,0,0
06/01/2023 05:00,383.69,649.44,359.96,625.35,1274.79,743.65,1562.60541
06/01/2023 06:00,9752.1,10259,9500.5,9993.3,20252.3,19252.6,20187.50177
06/01/2023 07:00,22470,23769,22403,23676,47445,44873,46975.34668
06/01/2023 08:00,27205,28952,27162,28876,57828,54367,50553.81445
06/01/2023 09:00,28222,30076,28290,30117,60193,56512,48462.23706
06/01/2023 10:00,29075,31018,29402,31344,62362,58477,47923.0481
06/01/2023 11:00,29164,31117,29524,31478,62595,58688,47922.88867
06/01/2023 12:00,28993,30924,29302,31229,62153,58295,47923.93823
06/01/2023 13:00,28835,30747,29093,30996,61743,57928,48199.146
06/01/2023 14:00,28429,30297,28567,30415,60712,56996,47212.14795
06/01/2023 15:00,25862,27467,25820,27395,54862,51682,48558.78784
06/01/2023 16:00,17268,18173,17070,17951,36124,34338,26328.7439
06/01/2023 17:00,2398.6,2698.3,2234.2,2531.5,5229.8,4632.8,4266.47339
06/01/2023 18:00,0,0,0,0,0,0,0
06/01/2023 19:00,0,0,0,0,0,0,0
06/01/2023 20:00,0,0,0,0,0,0,0
06/01/2023 21:00,0,0,0,0,0,0,0
06/01/2023 22:00,0,0,0,0,0,0,0
06/01/2023 23:00,0,0,0,0,0,0,0
07/01/2023 00:00,0,0,0,0,0,0,0
07/01/2023 01:00,0,0,0,0,0,0,0
07/01/2023 02:00,0,0,0,0,0,0,0
07/01/2023 03:00,0,0,0,0,0,0,0
07/01/2023 04:00,0,0,0,0,0,0,0
07/01/2023 05:00,112.13,372.18,103.15,363.17,735.35,215.28,801.70777
07/01/2023 06:00,7026.1,7442.2,6839,7248,14690.2,13865.1,15507.78088
07/01/2023 07:00,18815,19834,18731,19730,39564,37546,39055.10535
07/01/2023 08:00,26243,27894,26191,27810,55704,52434,47636.00049
07/01/2023 09:00,28569,30461,28738,30613,61074,57307,46854.02002
07/01/2023 10:00,29413,31396,29771,31757,63153,59184,46924.88306
07/01/2023 11:00,29283,31250,29645,31615,62865,58928,45076.04785
07/01/2023 12:00,27800,29604,27775,29545,59149,55575,42545.06824
07/01/2023 13:00,24792,26295,24721,26194,52489,49513,40641.66699
07/01/2023 14:00,26954,28668,26916,28598,57266,53870,44138.14697
07/01/2023 15:00,20609,21752,20535,21656,43408,41144,38708.67773
07/01/2023 16:00,18109,19071,17910,18846,37917,36019,26240.71851
07/01/2023 17:00,2541.5,2843.3,2368.5,2667.7,5511,4910,4472.67061
07/01/2023 18:00,0,0,0,0,0,0,0
07/01/2023 19:00,0,0,0,0,0,0,0
07/01/2023 20:00,0,0,0,0,0,0,0
07/01/2023 21:00,0,0,0,0,0,0,0
07/01/2023 22:00,0,0,0,0,0,0,0
07/01/2023 23:00,0,0,0,0,0,0,0
08/01/2023 00:00,0,0,0,0,0,0,0
08/01/2023 01:00,0,0,0,0,0,0,0
08/01/2023 02:00,0,0,0,0,0,0,0
08/01/2023 03:00,0,0,0,0,0,0,0
08/01/2023 04:00,0,0,0,0,0,0,0
08/01/2023 05:00,264.01,527.16,248.05,511.02,1038.18,512.06,1311.61257
08/01/2023 06:00,4795.4,5148.6,4666.4,5015.8,10164.4,9461.8,12523.53577
08/01/2023 07:00,17680,18620,17592,18515,37135,35272,41118.93091
08/01/2023 08:00,25820,27428,25765,27342,54770,51585,41923.9397
08/01/2023 09:00,28461,30341,28600,30460,60801,57061,39918.15454
08/01/2023 10:00,29495,31486,29856,31850,63336,59351,39254.97876
08/01/2023 11:00,29372,31348,29737,31716,63064,59109,38937.28369
08/01/2023 12:00,29440,31421,29804,31788,63209,59244,38928.17993
08/01/2023 13:00,27657,29444,27625,29378,58822,55282,38322.25342
08/01/2023 14:00,25233,26777,25180,26695,53472,50413,43695.5144
08/01/2023 15:00,26732,28423,26694,28353,56776,53426,47330.86743
08/01/2023 16:00,17331,18240,17140,18025,36265,34471,25940.32288
08/01/2023 17:00,3859.8,4188,3568.2,3889.4,8077.4,7428,5602.58193
08/01/2023 18:00,0,0,0,0,0,0,0
08/01/2023 19:00,0,0,0,0,0,0,0
08/01/2023 20:00,0,0,0,0,0,0,0
08/01/2023 21:00,0,0,0,0,0,0,0
08/01/2023 22:00,0,0,0,0,0,0,0
08/01/2023 23:00,0,0,0,0,0,0,0
09/01/2023 00:00,0,0,0,0,0,0,0
09/01/2023 01:00,0,0,0,0,0,0,0
09/01/2023 02:00,0,0,0,0,0,0,0
09/01/2023 03:00,0,0,0,0,0,0,0
09/01/2023 04:00,0,0,0,0,0,0,0
09/01/2023 05:00,290.45,554.12,273.1,536.56,1090.68,563.55,1318.78249
09/01/2023 06:00,10897,11455,10603,11143,22598,21500,18921.42102
