Date,INV111DC,INV112DC,INV121DC,INV122DC,INV131DC,INV132DC,INV141DC,INV142DC,INV151DC,INV152DC,INV211DC,INV212DC,INV221DC,INV222DC,INV231DC,INV232DC,INV241DC,INV242DC,INV251DC,INV252DC,Soma DC RDP1,Soma DC RDP2,1_2-Tmp ambiente C,2_1-Tmp ambiente C,2_5-Tmp ambiente C,1_2-Module Temp_#1,1_2-Module Temp_#2,2_1-Module Temp_#1,2_1-Module Temp_#2,2_5-Module Temp_#1,2_5-Module Temp_#2,1_2-Vel Vento,1_2-Direccin de viento ,2_1-Vel Vento,2_1-Direccin de viento ,2_5-Vel Vento,2_5-Direccin de viento ,1_2-Irradiancia subclula 1 W/m2,1_2-Irradiancia subclula 2 W/m2,1_2-Prdidas por suciedad %,2_1-Irradiancia subclula 1 W/m2,2_1-Irradiancia subclula 2 W/m2,2_1-Prdidas por suciedad %,2_5-Irradiancia subclula 1 W/m2,2_5-Irradiancia subclula 2 W/m2,2_5-Prdidas por suciedad %,1_2-GHI-Irradiancia W/m2,2_1-GHI-Irradiancia W/m2,2_5-GHI-Irradiancia W/m2,1_2-POA-Irradiancia W/m2,2_1-POA-Irradiancia W/m2,2_5-POA-Irradiancia W/m2,mean-pir,RDP2TMY-E_Grid,RDP2TMY-EArray,GlobHor-TMY,RDP1TMY-EArray,RDP1TMY-E_Grid,RDP1ESP-EArray,RDP1ESP-E_Grid,GlobHor-UFV,RDP2ESP-EArray,RDP2ESP-E_Grid
07/02/2023 00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.042,22.9,22.858,22.409,23.203,22.169,22.098,21.823,22.053,0.718,154.35,0.608,169.208,0.707,149.125,0,0,100,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/02/2023 01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.067,22.892,22.858,22.728,23.335,22.568,22.503,22.246,22.487,0.963,181.925,0.945,189.883,0.869,180.492,0,0,100,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/02/2023 02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.142,23.017,22.883,22.771,23.345,22.657,22.557,22.336,22.589,0.429,269.033,0.671,254.417,0.796,224.117,0,0,100,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/02/2023 03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.25,23.233,23.108,23.163,23.63,23.04,22.962,22.747,23.005,0.5,240.408,0.641,214.292,0.394,213.45,0,0,100,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/02/2023 04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.475,23.3,23.233,23.133,23.708,22.953,22.87,22.718,22.982,0.588,104.375,0.412,145.917,0.527,150.158,0,0,100,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/02/2023 05:00,12.234,11.094,13.606,14.119,13.146,13.275,13.168,12.825,13.197,11.58,14.012,12.346,10.671,10.429,13.528,12.543,13.359,13.49,12.841,12.682,128.244,125.901,23.35,23.25,23.092,23.004,23.524,22.838,22.77,22.443,22.692,0.682,160.558,0.64,128.25,0.629,156.1,3.75,4.25,78.375,4,4.25,76.708,4,4.25,76.708,4.572,4.721,4.678,4.838,5.023,4.862,4.657,0,0,2.1034,0,0,0,0,4.692,0,0
07/02/2023 06:00,418.97,362.24,455.569,470.986,392.774,408.55,415.775,389.819,362.387,338.762,376.069,339.876,383.777,376.409,392.156,343.325,331.518,360.054,386.331,407.678,4015.832,3697.193,23.775,23.6,23.575,26.417,24.708,25.393,25.069,25.058,25.473,1.139,140.1,1.289,133.275,1.191,129.608,134.333,135.583,1.025,114.333,113.417,1.667,124.667,126.167,1.725,104.223,94.679,97.693,141.034,120.369,125.652,98.865,1289.2,1625.7,51.097,1626.7,1290.4,4089.1,3725.2,98.906,4089,3725.1
07/02/2023 07:00,1285.326,1223.508,1306.826,1480.924,874.507,933.385,1018.84,1083.576,893.746,873.129,1348.443,1396.394,1536.829,1499.597,1533.958,1412.148,1430.03,1548.762,1064.891,1244.629,10973.767,14015.681,24.958,24.792,24.792,34.214,27.087,33.825,33.595,33.158,34.471,2.1,124.025,1.863,110.217,1.773,125.208,382.667,382.333,0.267,435.167,436.167,0.367,400,399.667,0.308,296.15,331.928,291.058,373.297,424.178,385.263,306.379,7396.4,7828.5,210.7,7833.1,7401.4,14848,14214,306.39,14847,14214
07/02/2023 08:00,1592.843,1601.292,1633.799,1616.903,2082.003,2223.903,1764.62,1523.873,1419.198,1262.344,1787.409,1834.872,1903.905,1746.198,1443.825,1799.938,1509.552,1663.899,1334.416,1337.265,16720.778,16361.279,26.392,26.117,26.1,39.078,29.097,38.254,38.57,38.417,40.103,3.067,143.342,3.774,133.567,3.437,122.133,483.417,482.833,0.225,568.25,569.333,0.25,432.167,432.75,0.2,388.959,499.52,351.25,475.036,565.168,427.709,413.243,16420,17142,442.81,17152,16430,15781,15113,413.31,15780,15113
07/02/2023 09:00,2867.236,2721.1,2580.582,2441.936,2331.281,2320.43,2427.272,2612.427,1776.347,2349.72,2670.88,2785.986,1826.746,1926.715,2567.555,2483.168,2248.713,2286.845,2011.853,2468.103,24428.331,23276.564,27.65,27.475,27.208,46.412,31.282,45.938,44.541,43.97,46.087,3.239,136.425,4.282,122.55,3.838,129.283,866.667,867.75,0.142,1052.25,1055.333,0.283,789.25,792.417,0.458,750.028,935.788,682.533,874.363,1061.753,798.711,789.449,18016,18807,543,18818,18027,28940,27592,789.5,28939,27591
